"gs_activeeng","gs_perceptabil","gs_musictrain","gs_singingabil","gs_emotions","gs_general","MET_dprime_Melody","MET_dprime_Rhythm","MET_c_Melody","MET_c_Rhythm","mean_working_memory","beat_score","melody_score"
1,0.546827026466588,0.589011042109691,0.788087083459278,0.797653004737864,0.840310446334753,0.530487943784918,0.234787502449849,0.445479220027383,0.133109808920913,0.160327545362414,0.499924715934407,0.506374172870546
0.546827026466588,1,0.673231489761977,0.721008413088844,0.529783089577351,0.771455930065431,0.615108520178294,0.427503777418911,0.565779665260339,0.387160527761306,0.0196744396117015,0.390633074862213,0.492873958365602
0.589011042109691,0.673231489761977,1,0.726173933682544,0.481506099671111,0.882996130973666,0.736184172776935,0.517326817124776,0.631875883267768,0.385539695222898,0.175888640946886,0.545984692731413,0.730603432275866
0.788087083459278,0.721008413088844,0.726173933682544,1,0.624704714258563,0.926183402637832,0.608036518946274,0.312339565682077,0.491071654052823,0.235031992934092,-0.0796286564512044,0.493769536894425,0.54222398344064
0.797653004737864,0.529783089577351,0.481506099671111,0.624704714258563,1,0.70530132037429,0.453128573272473,0.321622053647322,0.335076397503064,0.204552365933273,0.197329456494506,0.392417796144648,0.428693813642221
0.840310446334753,0.771455930065431,0.882996130973666,0.926183402637832,0.70530132037429,1,0.712106855883915,0.439863944458208,0.607403731938115,0.321683207172752,0.0840964731374473,0.56737593312893,0.649836918410286
0.530487943784918,0.615108520178294,0.736184172776935,0.608036518946274,0.453128573272473,0.712106855883915,1,0.578638604743465,0.926795744317352,0.518244667945529,0.269211265063977,0.518044583276361,0.640455304556442
0.234787502449849,0.427503777418911,0.517326817124776,0.312339565682077,0.321622053647322,0.439863944458208,0.578638604743465,1,0.473997744932881,0.837806437064895,0.166434668065055,0.445659312470258,0.564094077621847
0.445479220027383,0.565779665260339,0.631875883267768,0.491071654052823,0.335076397503064,0.607403731938115,0.926795744317352,0.473997744932881,1,0.530938264604013,0.267896619514513,0.419092813950655,0.576082112499152
0.133109808920913,0.387160527761306,0.385539695222898,0.235031992934092,0.204552365933273,0.321683207172752,0.518244667945529,0.837806437064895,0.530938264604013,1,0.154039905677993,0.398346391785941,0.509041447311909
0.160327545362414,0.0196744396117015,0.175888640946886,-0.0796286564512044,0.197329456494506,0.0840964731374473,0.269211265063977,0.166434668065055,0.267896619514513,0.154039905677993,1,0.165198769024572,0.210224076913417
0.499924715934407,0.390633074862213,0.545984692731413,0.493769536894425,0.392417796144648,0.56737593312893,0.518044583276361,0.445659312470258,0.419092813950655,0.398346391785941,0.165198769024572,1,0.684929665579114
0.506374172870546,0.492873958365602,0.730603432275866,0.54222398344064,0.428693813642221,0.649836918410286,0.640455304556442,0.564094077621847,0.576082112499152,0.509041447311909,0.210224076913417,0.684929665579114,1
